Origin	Destination	isMembers	EnumValue	EnumClass	Display info	Wilderness level	Duration
1858 5707 0	2977 3872 0	Y	GHORROCK	PohPortal	PoHPortal -> Ghorrock	19	4
1922 5707 2	2977 3872 0	Y	GHORROCK	PohPortal	PoHPortal -> Ghorrock	19	4
1986 5707 0	2977 3872 0	Y	GHORROCK	PohPortal	PoHPortal -> Ghorrock	19	4
1858 5707 0	2113 3915 0	Y	LUNAR_ISLE	PohPortal	PoHPortal -> Lunar Isle	19	4
1922 5707 2	2113 3915 0	Y	LUNAR_ISLE	PohPortal	PoHPortal -> Lunar Isle	19	4
1986 5707 0	2113 3915 0	Y	LUNAR_ISLE	PohPortal	PoHPortal -> Lunar Isle	19	4
1858 5707 0	2546 3755 0	Y	WATERBIRTH	PohPortal	PoHPortal -> Waterbirth	19	4
1922 5707 2	2546 3755 0	Y	WATERBIRTH	PohPortal	PoHPortal -> Waterbirth	19	4
1986 5707 0	2546 3755 0	Y	WATERBIRTH	PohPortal	PoHPortal -> Waterbirth	19	4
1858 5707 0	2802 3449 0	Y	CATHERBY	PohPortal	PoHPortal -> Catherby	19	4
1922 5707 2	2802 3449 0	Y	CATHERBY	PohPortal	PoHPortal -> Catherby	19	4
1986 5707 0	2802 3449 0	Y	CATHERBY	PohPortal	PoHPortal -> Catherby	19	4
1858 5707 0	1632 3838 0	Y	ARCEUUS_LIBRARY	PohPortal	PoHPortal -> Arceuus Library	19	4
1922 5707 2	1632 3838 0	Y	ARCEUUS_LIBRARY	PohPortal	PoHPortal -> Arceuus Library	19	4
1986 5707 0	1632 3838 0	Y	ARCEUUS_LIBRARY	PohPortal	PoHPortal -> Arceuus Library	19	4
1858 5707 0	3108 3352 0	Y	DRAYNOR_MANOR	PohPortal	PoHPortal -> Draynor Manor	19	4
1922 5707 2	3108 3352 0	Y	DRAYNOR_MANOR	PohPortal	PoHPortal -> Draynor Manor	19	4
1986 5707 0	3108 3352 0	Y	DRAYNOR_MANOR	PohPortal	PoHPortal -> Draynor Manor	19	4
1858 5707 0	1349 3739 0	Y	BATTLEFRONT	PohPortal	PoHPortal -> Battlefront	19	4
1922 5707 2	1349 3739 0	Y	BATTLEFRONT	PohPortal	PoHPortal -> Battlefront	19	4
1986 5707 0	1349 3739 0	Y	BATTLEFRONT	PohPortal	PoHPortal -> Battlefront	19	4
1858 5707 0	2979 3509 0	Y	MIND_ALTAR	PohPortal	PoHPortal -> Mind Altar	19	4
1922 5707 2	2979 3509 0	Y	MIND_ALTAR	PohPortal	PoHPortal -> Mind Altar	19	4
1986 5707 0	2979 3509 0	Y	MIND_ALTAR	PohPortal	PoHPortal -> Mind Altar	19	4
1858 5707 0	3433 3461 0	Y	SALVE_GRAVEYARD	PohPortal	PoHPortal -> Salve Graveyard	19	4
1922 5707 2	3433 3461 0	Y	SALVE_GRAVEYARD	PohPortal	PoHPortal -> Salve Graveyard	19	4
1986 5707 0	3433 3461 0	Y	SALVE_GRAVEYARD	PohPortal	PoHPortal -> Salve Graveyard	19	4
1858 5707 0	3548 3528 0	Y	FENKENSTRAINS_CASTLE	PohPortal	PoHPortal -> Fenkenstrain's Castle	19	4
1922 5707 2	3548 3528 0	Y	FENKENSTRAINS_CASTLE	PohPortal	PoHPortal -> Fenkenstrain's Castle	19	4
1986 5707 0	3548 3528 0	Y	FENKENSTRAINS_CASTLE	PohPortal	PoHPortal -> Fenkenstrain's Castle	19	4
1858 5707 0	2500 3291 0	Y	WEST_ARDOUGNE	PohPortal	PoHPortal -> West Ardougne	19	4
1922 5707 2	2500 3291 0	Y	WEST_ARDOUGNE	PohPortal	PoHPortal -> West Ardougne	19	4
1986 5707 0	2500 3291 0	Y	WEST_ARDOUGNE	PohPortal	PoHPortal -> West Ardougne	19	4
1858 5707 0	3797 2866 0	Y	HARMONY_ISLAND	PohPortal	PoHPortal -> Harmony Island	19	4
1922 5707 2	3797 2866 0	Y	HARMONY_ISLAND	PohPortal	PoHPortal -> Harmony Island	19	4
1986 5707 0	3797 2866 0	Y	HARMONY_ISLAND	PohPortal	PoHPortal -> Harmony Island	19	4
1858 5707 0	3565 3315 0	Y	BARROWS	PohPortal	PoHPortal -> Barrows	19	4
1922 5707 2	3565 3315 0	Y	BARROWS	PohPortal	PoHPortal -> Barrows	19	4
1986 5707 0	3565 3315 0	Y	BARROWS	PohPortal	PoHPortal -> Barrows	19	4
1858 5707 0	2846 3940 0	Y	WEISS	PohPortal	PoHPortal -> Weiss	19	4
1922 5707 2	2846 3940 0	Y	WEISS	PohPortal	PoHPortal -> Weiss	19	4
1986 5707 0	2846 3940 0	Y	WEISS	PohPortal	PoHPortal -> Weiss	19	4
1858 5707 0	1576 3528 0	Y	LOOKOUT	MountedXerics	MountedXerics -> Xeric's Lookout	19	4
1922 5707 2	1576 3528 0	Y	LOOKOUT	MountedXerics	MountedXerics -> Xeric's Lookout	19	4
1986 5707 0	1576 3528 0	Y	LOOKOUT	MountedXerics	MountedXerics -> Xeric's Lookout	19	4
1858 5707 0	1754 3564 0	Y	GLADE	MountedXerics	MountedXerics -> Xeric's Glade	19	4
1922 5707 2	1754 3564 0	Y	GLADE	MountedXerics	MountedXerics -> Xeric's Glade	19	4
1986 5707 0	1754 3564 0	Y	GLADE	MountedXerics	MountedXerics -> Xeric's Glade	19	4
1858 5707 0	1504 3819 0	Y	INFERNO	MountedXerics	MountedXerics -> Xeric's Inferno	19	4
1922 5707 2	1504 3819 0	Y	INFERNO	MountedXerics	MountedXerics -> Xeric's Inferno	19	4
1986 5707 0	1504 3819 0	Y	INFERNO	MountedXerics	MountedXerics -> Xeric's Inferno	19	4
1858 5707 0	1641 3670 0	Y	HEART	MountedXerics	MountedXerics -> Xeric's Heart	19	4
1922 5707 2	1641 3670 0	Y	HEART	MountedXerics	MountedXerics -> Xeric's Heart	19	4
1986 5707 0	1641 3670 0	Y	HEART	MountedXerics	MountedXerics -> Xeric's Heart	19	4
1858 5707 0	2458 2851 0	Y	MYTHS_GUILD	MountedMythical	MountedMythical -> Myths guild	19	4
1922 5707 2	2458 2851 0	Y	MYTHS_GUILD	MountedMythical	MountedMythical -> Myths guild	19	4
1986 5707 0	2458 2851 0	Y	MYTHS_GUILD	MountedMythical	MountedMythical -> Myths guild	19	4
