# Destination	menuOption menuTarget objectID	Skills	Items	Quests	Duration	Display info	Consumable	Wilderness level	Varbits	VarPlayers
# Ardougne cloaks (2 has 3 teleports to farm, 3 has 5 teleports to farm, 4 has unlimited teleports to farm) PS: varbit 6069 is only lowbits, highbits is not transmitted										
3096 3227 0			13069=1||19476=1		4	Achievement diary cape: G. Twiggy O'Korn	F	20	4461=1;4465=1;4469=1;4474=1;4478=1;4482=1;4486=1;4490=1;4494=1;4498=1;4566=1	
										
# Quest items										
# Ectophial - includes the empty version										
3660 3522 0			4251=1||4252=1		4	Ectophial	F	20		
2330 3171 0			6099=1||6100=1||6101=1||6102=1||13102=1		4	Teleport crystal: Lletya	T	20		
3264 6066 0			6099=1||6100=1||6101=1||6102=1||13102=1	Song of the Elves	4	Teleport crystal: Prifddinas	T	20		
2330 3171 0			23946=1		4	Eternal teleport crystal: Lletya	F	20		
3264 6066 0			23946=1	Song of the Elves	4	Eternal teleport crystal: Prifddinas	F	20		
2465 3495 0			19564=1		4	Royal seed pod	F	30		
2465 3495 0			9469=1		4	Grand seed pod	T	30		
# Enchanted lyre - 4493 is DIARY_FREMENNIK_HARD, 4494 is DIARY_FREMENNIK_ELITE										
2662 3644 0			3691=1||6125=1||6126=1||6127=1||13079=1		4	Enchanted lyre: Rellekka	T	20		
2551 3755 0			3691=1||6125=1||6126=1||6127=1||13079=1		4	Enchanted lyre: Waterbirth Island	T	20	4493=1	
2409 3809 0			3691=1||6125=1||6126=1||6127=1||13079=1		4	Enchanted lyre: Jatizso	T	20	4494=1	
2336 3802 0			3691=1||6125=1||6126=1||6127=1||13079=1		4	Enchanted lyre: Neitiznot	T	20	4494=1	
2662 3644 0			23458=1		4	Enchanted lyre (i): Rellekka	F	20		
2551 3755 0			23458=1		4	Enchanted lyre (i): Waterbirth Island	F	20	4493=1	
2409 3809 0			23458=1		4	Enchanted lyre (i): Jatizso	F	20	4494=1	
2336 3802 0			23458=1		4	Enchanted lyre (i): Neitiznot	F	20	4494=1	
3105 9315 0			6707=1		4	Camulet: Enakhra's Temple	F	20		
3191 2924 0			6707=1		4	Camulet: Bandit Camp Quarry	F	20	4485=1	
1714 3611 0			21760=1		4	Kharedst's memoirs: Lunch by the Lancalliums	T	20	6028=1;6035>0	
1803 3748 0			21760=1		4	Kharedst's memoirs: The Fisher's Flute	T	20	6038=1;6035>0	
1478 3576 0			21760=1		4	Kharedst's memoirs: History and Hearsay	T	20	6359=1;6035>0	
1544 3761 0			21760=1		4	Kharedst's memoirs: Jewelry of Jubilation	T	20	7801=1;6035>0	
1681 3746 0			21760=1		4	Kharedst's memoirs: A Dark Disposition	T	20	7857=1;6035>0	
1714 3611 0			25818=1		4	Book of the dead: Lunch by the Lancalliums	T	20	6028=1;6035>0	
1803 3748 0			25818=1		4	Book of the dead: The Fisher's Flute	T	20	6038=1;6035>0	
1478 3576 0			25818=1		4	Book of the dead: History and Hearsay	T	20	6359=1;6035>0	
1544 3761 0			25818=1		4	Book of the dead: Jewelry of Jubilation	T	20	7801=1;6035>0	
1681 3746 0			25818=1		4	Book of the dead: A Dark Disposition	T	20	7857=1;6035>0	
3649 3230 0			22400=1		4	Drakan's medallion: Ver Sinhaza	F	20		
3592 3337 0			22400=1	Sins of the Father	4	Drakan's medallion: Darkmeyer	F	20		
# todo: this only works if you've used a Slepey tablet on the medallion										
3808 9700 0			22400=1		4	Drakan's medallion: Slepe	F	20		
2457 2850 0			21913=1||22114=1||24855=1		4	Mythical cape	F	20		
# Stony basalt - 6528 is MAKING_FRIENDS_WITH_MY_ARM and 4493 is DIARY_FREMENNIK_HARD										
2845 3694 0			22601=1		4	Stony basalt	T	20	6528=207	
2837 3695 0		73 Agility	22601=1		4	Stony basalt: Roof	T	20	6528=207;4493=1	
2846 3938 0			22599=1		4	Icy basalt	T	20	6528=207	
										
# Other										
1934 4428 0			26948=1		4	Pharaoh's sceptre: Jalsavrah	T	20		
3341 2827 0			26948=1		4	Pharaoh's sceptre: Jaleustrophos	T	20		
3232 2897 0			26948=1		4	Pharaoh's sceptre: Jaldraocht	T	20		
3313 2718 0			26948=1		4	Pharaoh's sceptre: Jaltevas	T	20	13839=1	
3081 3421 0			9013=1||21276=1		4	Skull sceptre	T	20		
1579 3530 0			13393=1		4	Xeric's talisman: 1. Xeric's Lookout	T	20		
1752 3566 0			13393=1		4	Xeric's talisman: 2. Xeric's Glade	T	20		
1504 3815 0			13393=1		4	Xeric's talisman: 3. Xeric's Inferno	T	20		
1644 3673 0			13393=1		4	Xeric's talisman: 4. Xeric's Heart	T	20		
# Requires the use of an ancient tablet to activate										
1254 3560 0			13393=1		4	Xeric's talisman: 5. Xeric's Honour	T	20		
3200 3355 0			13660=1		4	Chronicle	T	0		
3615 9461 0			26914=1		4	Amulet of the eye	F	20		
2981 3276 0			26818=1		4	Ring of the elements: Air	T	20		
3170 3155 0			26818=1		4	Ring of the elements: Water	T	20		
3288 3468 0			26818=1		4	Ring of the elements: Earth	T	20		
3314 3279 0			26818=1		4	Ring of the elements: Fire	T	20		
2400 5982 0			24709=1		4	Hallowed crystal shard	T	20		
3296 6436 0			28327=1		4	Ring of shadows: Ancient Vault	T	20		
# todo: The remaining Ring of shadows teleports require using a tablet on it once										
2912 10336 0			28327=1		4	Ring of shadows: Ghorrock Dungeon	T	20		
2019 6434 0			28327=1		4	Ring of shadows: The Scar	T	20		
2588 6435 0			28327=1		4	Ring of shadows: Lassar Undercity	T	20		
1175 3424 0			28327=1		4	Ring of shadows: The Stranglewood	T	20		
1491 3283 0			29893=1		4	Pendant of ates: 1. The Darkfrost	T	20	11175=1	
1668 3223 0			29893=1		4	Pendant of ates: 2. Twilight Temple	T	20	11176=1	
1459 3138 0			29893=1		4	Pendant of ates: 3. Ralos' Rise	T	20	11177=1	
# Requires using an icon to use										
1426 2995 0			29893=1		4	Pendant of ates: 4. North Aldarin	T	20	11178=1	
1367 3086 0			29893=1		4	Pendant of ates: 5. Kastori	T	20	11179=1	
1365 3276 0			29893=1		4	Pendant of ates: 6. Nemus Retreat	T	20	11180=1	
										
# Giantsoul amulet										
3174 9898 0			30638=1		4	Giantsoul amulet: 1. Bryophyta	T	20		
3096 9833 0			30638=1		4	Giantsoul amulet: 2. Obor	T	20		
2952 9574 0			30638=1		4	Giantsoul amulet: 3. Branda and Eldric	T	20		
										
# Sailors' amulet (Charged)										
# TODO: gate Port Roberts and Deepfin Point teleports on the Sailors' Marker inspection varbit.										
# Confirmed from cache dump (see SailingAmenityVarbitDumperTest):										
#   Item 32398 Sailors amulet (inert)   interfaceOptions: [null, Wear, null, Inspect, Destroy]										
#   Item 32399 Sailors amulet (charged) interfaceOptions: [null, Wear, Teleport, Check, Destroy]										
#     subops[2] = [The Pandemonium, Port Roberts, _, _, Deepfin Point, ...]										
#     param[2257] = 7040 (cs2 script that handles the Teleport submenu and checks the unlock varbit).										
# The unlock varbit itself lives only in that cs2 script and can't be decoded by the bundled										
# runelite-cache 1.12.24 loader against the current cache rev. Find it in-game by inspecting the										
# Sailors' Marker with RuneLite's varbit inspector open. Marker scenery object IDs + world tiles:										
#   59985 Port Roberts     @ 1902 3304 1										
#   59988 Deepfin Point    @ 1936 2766 1										
#   59986 Red Rock         @ 2803 2523 1 (not currently accessible)										
3058 2975 0			32399=1		4	Sailors' amulet: The Pandemonium	T	20		
1889 3292 0			32399=1		4	Sailors' amulet: Port Roberts	T	20		
1943 2757 0			32399=1		4	Sailors' amulet: Deepfin Point	T	20		

# Cowbell amulet										
3259 3277 0			33104=1		4	Cowbell amulet	T	20		
